inAir9 ready!
inAir9 freq: 915.00
inAir9 LoRa mod10
inAir9 listening ...

1810 Rx, payload: Decir adios es crecer 3, rssi: -17
3825 Rx, payload: Decir adios es crecer 4, rssi: -18
5840 Rx, payload: Decir adios es crecer 5, rssi: -17
7856 Rx, payload: Decir adios es crecer 6, rssi: -17
9871 Rx, payload: Decir adios es crecer 7, rssi: -18
11886 Rx, payload: Decir adios es crecer 8, rssi: -18
13901 Rx, payload: Decir adios es crecer 9, rssi: -17
15919 Rx, payload: Decir adios es crecer 10, rssi: -17
17934 Rx, payload: Decir adios es crecer 11, rssi: -18
19949 Rx, payload: Decir adios es crecer 12, rssi: -17
21964 Rx, payload: Decir adios es crecer 13, rssi: -17
23980 Rx, payload: Decir adios es crecer 14, rssi: -17
25995 Rx, payload: Decir adios es crecer 15, rssi: -17
28010 Rx, payload: Decir adios es crecer 16, rssi: -18
30025 Rx, payload: Decir adios es crecer 17, rssi: -17
32040 Rx, payload: Decir adios es crecer 18, rssi: -17
34056 Rx, payload: Decir adios es crecer 19, rssi: -17
36071 Rx, payload: Decir adios es crecer 20, rssi: -17
38086 Rx, payload: Decir adios es crecer 21, rssi: -17
40101 Rx, payload: Decir adios es crecer 22, rssi: -17
42117 Rx, payload: Decir adios es crecer 23, rssi: -17
44132 Rx, payload: Decir adios es crecer 24, rssi: -17
46149 Rx, payload: Decir adios es crecer 25, rssi: -17
48164 Rx, payload: Decir adios es crecer 26, rssi: -16
50180 Rx, payload: Decir adios es crecer 27, rssi: -17
52195 Rx, payload: Decir adios es crecer 28, rssi: -17
54210 Rx, payload: Decir adios es crecer 29, rssi: -17
56225 Rx, payload: Decir adios es crecer 30, rssi: -16
58241 Rx, payload: Decir adios es crecer 31, rssi: -17
60256 Rx, payload: Decir adios es crecer 32, rssi: -16
62271 Rx, payload: Decir adios es crecer 33, rssi: -16
64286 Rx, payload: Decir adios es crecer 34, rssi: -16
66301 Rx, payload: Decir adios es crecer 35, rssi: -17
68317 Rx, payload: Decir adios es crecer 36, rssi: -16
70332 Rx, payload: Decir adios es crecer 37, rssi: -17
72349 Rx, payload: Decir adios es crecer 38, rssi: -16
74364 Rx, payload: Decir adios es crecer 39, rssi: -16
76380 Rx, payload: Decir adios es crecer 40, rssi: -16
78395 Rx, payload: Decir adios es crecer 41, rssi: -17
80410 Rx, payload: Decir adios es crecer 42, rssi: -16
82425 Rx, payload: Decir adios es crecer 43, rssi: -16
