inAir9 ready!
inAir9 freq: 915.00
inAir Tx power: 
inAir9 LoRa mod10
Begining Tx...

157 Tx, payload: Decir adios es crecer, tx time: 16456 us
2217 Tx, payload: Decir adios es crecer, tx time: 16480 us
4237 Tx, payload: Decir adios es crecer, tx time: 16480 us
6254 Tx, payload: Decir adios es crecer, tx time: 16496 us
8273 Tx, payload: Decir adios es crecer, tx time: 16480 us
10291 Tx, payload: Decir adios es crecer, tx time: 16496 us
12308 Tx, payload: Decir adios es crecer, tx time: 16472 us
14327 Tx, payload: Decir adios es crecer, tx time: 16488 us
16345 Tx, payload: Decir adios es crecer, tx time: 16480 us
18364 Tx, payload: Decir adios es crecer, tx time: 16488 us
20381 Tx, payload: Decir adios es crecer, tx time: 16480 us
22401 Tx, payload: Decir adios es crecer, tx time: 16480 us
24418 Tx, payload: Decir adios es crecer, tx time: 16480 us
26437 Tx, payload: Decir adios es crecer, tx time: 16480 us
28454 Tx, payload: Decir adios es crecer, tx time: 16496 us
30472 Tx, payload: Decir adios es crecer, tx time: 16480 us
32491 Tx, payload: Decir adios es crecer, tx time: 16488 us
34508 Tx, payload: Decir adios es crecer, tx time: 16480 us
36528 Tx, payload: Decir adios es crecer, tx time: 16488 us
38545 Tx, payload: Decir adios es crecer, tx time: 16480 us
40564 Tx, payload: Decir adios es crecer, tx time: 16488 us
42582 Tx, payload: Decir adios es crecer, tx time: 16480 us
44601 Tx, payload: Decir adios es crecer, tx time: 16480 us
46618 Tx, payload: Decir adios es crecer, tx time: 16472 us
48637 Tx, payload: Decir adios es crecer, tx time: 16480 us
50655 Tx, payload: Decir adios es crecer, tx time: 16496 us
52672 Tx, payload: Decir adios es crecer, tx time: 16472 us
54691 Tx, payload: Decir adios es crecer, tx time: 16496 us
56709 Tx, payload: Decir adios es crecer, tx time: 16472 us
58728 Tx, payload: Decir adios es crecer, tx time: 16488 us
60745 Tx, payload: Decir adios es crecer, tx time: 16472 us
62765 Tx, payload: Decir adios es crecer, tx time: 16488 us
64782 Tx, payload: Decir adios es crecer, tx time: 16480 us
66801 Tx, payload: Decir adios es crecer, tx time: 16480 us
68818 Tx, payload: Decir adios es crecer, tx time: 16472 us
70838 Tx, payload: Decir adios es crecer, tx time: 16480 us
72855 Tx, payload: Decir adios es crecer, tx time: 16504 us
74872 Tx, payload: Decir adios es crecer, tx time: 16480 us
76892 Tx, payload: Decir adios es crecer, tx time: 16488 us
78909 Tx, payload: Decir adios es crecer, tx time: 16472 us
80928 Tx, payload: Decir adios es crecer, tx time: 16488 us
82946 Tx, payload: Decir adios es crecer, tx time: 16480 us
84965 Tx, payload: Decir adios es crecer, tx time: 16488 us
86982 Tx, payload: Decir adios es crecer, tx time: 16480 us
89001 Tx, payload: Decir adios es crecer, tx time: 16472 us
91019 Tx, payload: Decir adios es crecer, tx time: 16480 us
93038 Tx, payload: Decir adios es crecer, tx time: 16480 us
95055 Tx, payload: Decir adios es crecer, tx time: 16496 us
97073 Tx, payload: Decir adios es crecer, tx time: 16480 us
99092 Tx, payload: Decir adios es crecer, tx time: 16488 us
101109 Tx, payload: Decir adios es crecer, tx time: 16480 us
103129 Tx, payload: Decir adios es crecer, tx time: 16496 us
