Date	Time	uC Clock [ms]	Packet Number	Payload	RSSI [dBm]	Light [rel]	Humidity [%]	Temperature [C]
2017-11-30	16:19:05.101203	2601937	162	162 593 50.20 21.50 Decir adios es crecer	-91	593	50.20	21.50
2017-11-30	16:19:15.439006	2612273	163	163 926 43.50 21.30 Decir adios es crecer	-82	926	43.50	21.30
2017-11-30	16:19:25.776835	2622608	164	164 963 43.50 21.30 Decir adios es crecer	-89	963	43.50	21.30
2017-11-30	16:19:36.114690	2632943	165	165 883 44.00 21.30 Decir adios es crecer	-93	883	44.00	21.30
2017-11-30	16:19:46.452554	2643278	166	166 795 44.10 21.30 Decir adios es crecer	-84	795	44.10	21.30
2017-11-30	16:19:56.790376	2653614	167	167 835 44.00 21.30 Decir adios es crecer	-81	835	44.00	21.30
2017-11-30	16:20:07.128361	2663949	168	168 771 44.70 21.40 Decir adios es crecer	-74	771	44.70	21.40
2017-11-30	16:20:30.150387	2686965	169	169 716 45.20 21.40 Decir adios es crecer	-72	716	45.20	21.40
2017-11-30	16:20:40.488236	2697300	170	170 588 45.20 21.40 Decir adios es crecer	-82	588	45.20	21.40
2017-11-30	16:20:50.825976	2707636	171	171 550 44.80 21.50 Decir adios es crecer	-77	550	44.80	21.50
			172	    				
2017-11-30	16:21:11.829271	2728307	173	173 446 44.10 21.50 Decir adios es crecer	-88	446	44.10	21.50
			174	    				
2017-11-30	16:22:26.726435	2803193	175	175 295 44.00 21.50 Decir adios es crecer	-86	295	44.00	21.50
2017-11-30	16:22:36.743999	2813529	176	176 462 45.40 21.60 Decir adios es crecer	-80	462	45.40	21.60
2017-11-30	16:22:47.081893	2823864	177	177 519 44.60 21.60 Decir adios es crecer	-87	519	44.60	21.60
2017-11-30	16:22:57.419641	2834199	178	178 662 43.60 21.70 Decir adios es crecer	-81	662	43.60	21.70
			179	    				
2017-11-30	16:23:18.411849	2854870	180	180 531 43.60 21.70 Decir adios es crecer	-78	531	43.60	21.70
2017-11-30	16:23:28.432737	2865205	181	181 549 44.10 21.70 Decir adios es crecer	-71	549	44.10	21.70
2017-11-30	16:23:38.770432	2875540	182	182 514 44.90 21.70 Decir adios es crecer	-84	514	44.90	21.70
2017-11-30	16:23:49.108171	2885875	183	183 545 44.90 21.70 Decir adios es crecer	-84	545	44.90	21.70
2017-11-30	16:23:59.445931	2896210	184	184 533 43.50 21.70 Decir adios es crecer	-83	533	43.50	21.70
			185	    				
2017-11-30	16:24:20.428366	2916881	186	186 463 44.00 21.70 Decir adios es crecer	-80	463	44.00	21.70
2017-11-30	16:24:30.458869	2927216	187	187 483 44.00 21.70 Decir adios es crecer	-77	483	44.00	21.70
2017-11-30	16:24:40.796579	2937551	188	188 482 43.60 21.70 Decir adios es crecer	-87	482	43.60	21.70
2017-11-30	16:24:51.134381	2947887	189	189 487 43.70 21.70 Decir adios es crecer	-80	487	43.70	21.70
2017-11-30	16:25:01.472052	2958222	190	190 495 43.40 21.60 Decir adios es crecer	-81	495	43.40	21.60
2017-11-30	16:25:11.809755	2968557	191	191 582 43.40 21.60 Decir adios es crecer	-82	582	43.40	21.60
2017-11-30	16:25:22.147484	2978892	192	192 653 43.80 21.60 Decir adios es crecer	-76	653	43.80	21.60
2017-11-30	16:25:32.485163	2989229	193	193 595 43.90 21.60 Decir adios es crecer	-80	595	43.90	21.60
2017-11-30	16:25:42.822813	2999564	194	194 551 44.00 21.50 Decir adios es crecer	-77	551	44.00	21.50
2017-11-30	16:25:53.160579	3009899	195	195 586 44.10 21.50 Decir adios es crecer	-74	586	44.10	21.50
2017-11-30	16:26:18.252942	3034985	196	196 501 43.70 21.50 Decir adios es crecer	-82	501	43.70	21.50
2017-11-30	16:26:28.590653	3045320	197	197 472 42.80 21.40 Decir adios es crecer	-77	472	42.80	21.40
2017-11-30	16:26:38.928447	3055656	198	198 761 43.10 21.40 Decir adios es crecer	-84	761	43.10	21.40
2017-11-30	16:26:49.266140	3065992	199	199 767 43.00 21.40 Decir adios es crecer	-82	767	43.00	21.40
2017-11-30	16:27:05.069891	3081792	200	200 534 43.10 21.50 Decir adios es crecer	-82	534	43.10	21.50
2017-11-30	16:27:15.407626	3092127	201	201 557 43.00 21.50 Decir adios es crecer	-80	557	43.00	21.50
2017-11-30	16:27:26.573900	3103291	202	202 468 43.10 21.50 Decir adios es crecer	-90	468	43.10	21.50
2017-11-30	16:27:36.911702	3113626	203	203 365 43.70 21.50 Decir adios es crecer	-89	365	43.70	21.50
			204	    				
2017-11-30	16:27:57.894362	3134297	205	205 443 42.60 21.60 Decir adios es crecer	-91	443	42.60	21.60
			206	    				
2017-11-30	16:28:18.591701	3154967	207	207 415 42.00 21.60 Decir adios es crecer	-93	415	42.00	21.60
2017-11-30	16:28:28.599498	3165302	208	208 402 42.20 21.60 Decir adios es crecer	-90	402	42.20	21.60
2017-11-30	16:28:38.936688	3175639	209	209 524 43.00 21.60 Decir adios es crecer	-80	524	43.00	21.60
			210	    				
2017-11-30	16:28:59.927468	3196309	211	211 459 42.60 21.60 Decir adios es crecer	-87	459	42.60	21.60
2017-11-30	16:29:09.948185	3206644	212	212 491 42.30 21.60 Decir adios es crecer	-85	491	42.30	21.60
2017-11-30	16:29:20.285327	3216979	213	213 593 42.40 21.50 Decir adios es crecer	-79	593	42.40	21.50
2017-11-30	16:29:30.622456	3227315	214	214 700 42.40 21.50 Decir adios es crecer	-84	700	42.40	21.50
2017-11-30	16:29:40.959901	3237650	215	215 593 42.20 21.50 Decir adios es crecer	-84	593	42.20	21.50
2017-11-30	16:29:51.297373	3247985	216	216 622 41.90 21.50 Decir adios es crecer	-79	622	41.90	21.50
